imdb_id,type,title,country,date_added,release_year,rating,listed_in,description,age_certification,runtime,imdb_score,imdb_votes
tt11804034,TV Show,"Hi Bye, Mama!",South Korea,"February 23, 2020",2020,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",,61mins,8,1561
tt9026184,Movie,Girl on the Third Floor,United States,"February 22, 2020",2019,TV-MA,Horror Movies,"A husband with a bad track record tries to start anew by renovating a rundown Victorian for his family, only to find he's tackled a house out of hell.",,93mins,4.7,9823
tt10037034,TV Show,Gentefied,United States,"February 21, 2020",2020,TV-MA,"TV Comedies, TV Dramas",The Morales cousins scramble to save their grandfather's taco shop — and pursue their own dreams — as gentrification shakes up their LA neighborhood.,TV-MA,30mins,7.3,2641
tt11534164,TV Show,Hyena,South Korea,"February 21, 2020",2020,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows","To survive in a dog-eat-dog world, two rival lawyers with high-class clientele tear apart anything that stands in the way of their ambitions.",,60mins,7.7,765
tt9170386,TV Show,Puerta 7,Argentina,"February 21, 2020",2020,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A determined woman works to rid an Argentine soccer club of the violent crime and corruption surrounding its intense fanbase.,TV-MA,41mins,5.6,542
tt8535968,Movie,System Crasher,Germany,"February 21, 2020",2020,TV-MA,"Dramas, Independent Movies, International Movies","Traumatized, violent and yearning for love, 9-year-old Benni bonds with a gruff mentor as child-services workers struggle to find her a home.",,118mins,7.8,12699
tt8130904,Movie,The Body,India,"February 21, 2020",2019,TV-14,"International Movies, Thrillers",Mind games and mystery abound as a detective investigates the disappearance of a woman’s body from a morgue in this Hindi remake of a Spanish thriller.,,104mins,5.5,3321
tt7456312,Movie,The Last Thing He Wanted,United States,"February 21, 2020",2020,R,"Dramas, Thrillers",A hard-hitting reporter becomes entangled in the story she’s trying to break when she helps her ailing father broker an arms deal in Central America.,R,116mins,4.3,14716
tt10230436,Movie,Yeh Ballet,India,"February 21, 2020",2020,TV-MA,"Dramas, International Movies","Discovered by an eccentric ballet master, two gifted but underprivileged Mumbai teens face bigotry and disapproval as they pursue their dancing dreams.",PG-13,117mins,7.5,1312
tt6950338,TV Show,DreamWorks Shrek's Swamp Stories,United States,"February 17, 2020",2008,TV-PG,"Kids' TV, TV Action & Adventure, TV Comedies","Shrek celebrates Halloween, Puss in Boots is captured by soldiers, and the gang participates in a kingdom-wide singing competition.",TV-PG,24mins,6.5,330
tt3707106,Movie,By the Sea,"France, Malta, United States","February 16, 2020",2015,R,"Dramas, Romantic Movies","Troubled by the state of their marriage, Vanessa and Roland visit a French seaside town, where they have a fateful encounter with a pair of newlyweds.",R,122mins,5.3,20541
tt2978102,Movie,Term Life,United States,"February 16, 2020",2016,R,"Dramas, Thrillers","After a botched job, a heist mastermind must run from gangsters and stay alive long enough for his daughter to benefit from his life insurance policy.",R,93mins,5.6,7860
tt3387542,Movie,The Forest,United States,"February 16, 2020",2016,PG-13,"Horror Movies, Independent Movies","A young woman conducts a search for her twin sister, who disappeared in a notorious area of Japan known as the Suicide Forest.",R,95mins,4.8,42148
tt6560040,Movie,The Forest,United States,"February 16, 2020",2016,PG-13,"Horror Movies, Independent Movies","A young woman conducts a search for her twin sister, who disappeared in a notorious area of Japan known as the Suicide Forest.",TV-MA,52mins,7.2,10137
tt9408950,Movie,Monster High: Electrified,Somewhere,"February 15, 2020",2017,TV-Y,Movies,"Clawdeen wants to turn an abandoned power station into a salon for monsters and ""normies"" alike. But Moanica's got a shocking plan to ruin everything.",PG,72mins,5.5,300
tt4648640,TV Show,Talking Tom and Friends,Cyprus,"February 15, 2020",2017,TV-Y,"Kids' TV, TV Comedies","Full of funny one-liners and always ready for an adventure, a talking cat and his equally chatty animal cohorts set out to become famous.",TV-G,11mins,6.1,411
tt6193408,Movie,A Shaun the Sheep Movie: Farmageddon,"United Kingdom, France, Belgium, Ireland, United States","February 14, 2020",2019,G,"Children & Family Movies, Comedies",Shaun and the flock race to help an adorable alien find her way home after her ship crash-lands near Mossy Bottom Farm and sparks a UFO frenzy.,G,87mins,6.8,13267
tt9806322,Movie,Isi & Ossi,Germany,"February 14, 2020",2020,TV-MA,"Comedies, International Movies, Romantic Movies",A billionaire's daughter fakes a relationship with a cash-strapped boxer in order to coerce her parents into letting her pursue her culinary dreams.,,113mins,6.4,8221
tt11725706,TV Show,Taj Mahal 1989,India,"February 14, 2020",2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies","In and around Lucknow University in 1989, couples of varying ages explore the politics of love through marriage, budding romances and friendships.",,34mins,7.4,1522
tt11704040,TV Show,Love Is Blind,United States,"February 13, 2020",2021,TV-MA,"Reality TV, Romantic TV Shows","Nick and Vanessa Lachey host this social experiment where single men and women look for love and get engaged, all before meeting in person.",TV-MA,54mins,6.1,7655
tt8714904,TV Show,Narcos: Mexico,"Mexico, United States","February 13, 2020",2020,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas","Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent.",TV-MA,56mins,8.4,80902
tt9354842,Movie,To All the Boys: P.S. I Still Love You,United States,"February 12, 2020",2020,TV-14,"Comedies, Romantic Movies","Lara Jean is officially Peter’s girlfriend, so everything should be perfect, right? But feelings grow complicated when an old crush reenters her life.",PG-13,102mins,6,37072
tt10643938,Movie,Love for Sale 2,Indonesia,"February 10, 2020",2019,TV-14,"Dramas, International Movies, Romantic Movies","Exhausted with his mother’s failed attempts at setting him up with women, Ican hires an ideal partner from a matchmaking app.",,92mins,7,549
tt3032476,TV Show,Better Call Saul,United States,"February 9, 2020",2018,TV-MA,"Crime TV Shows, TV Comedies, TV Dramas","This Emmy-nominated prequel to ""Breaking Bad"" follows small-time attorney Jimmy McGill as he transforms into morally challenged lawyer Saul Goodman.",TV-MA,49mins,8.8,404920
tt6445414,Movie,The Coldest Game,"Poland, United States","February 8, 2020",2019,TV-MA,"Dramas, International Movies, Thrillers","During 1962’s Cuban missile crisis, a troubled math genius finds himself drafted to play in a U.S.-Soviet chess match – and a deadly game of espionage.",,104mins,6.2,10411
tt9448362,Movie,Thottappan,India,"February 8, 2020",2019,TV-14,"Comedies, Dramas, International Movies","When his partner in crime goes missing, a small-time crook’s life is transformed as he dedicates himself to raising the daughter his friend left behind.",,140mins,6.9,366
tt10687134,TV Show,Dragons: Rescue Riders,United States,"February 7, 2020",2020,TV-Y,"Kids' TV, TV Comedies","Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way.",TV-Y,24mins,5.9,304
tt9769714,Movie,Jada,India,"February 7, 2020",2019,TV-14,"Dramas, International Movies, Sports Movies","Wishing to settle an old score, a promising soccer player defies his coach’s wishes and leads his team to participate in a violent form of the sport.",PG-13,16mins,5.3,157
